pair_id,culture,national_mean_dci,other_mean_dci,advantage,n_national,n_other,t_stat,p_value
china_water,chinese,0.345,0.3576,0.0126,4,16,0.3435269749280933,0.7492903742822251
india_dairy,indian,0.4,0.3689,-0.0311,1,19,,
japan_snacks,japanese,0.3917,0.3854,-0.0063,2,18,-0.507232014898229,0.6359862453402023
korea_dairy,korean,0.35,0.3464,-0.0036,1,19,,
mongolia_beer,chinese,0.3892,0.374,-0.0152,4,16,-1.0947770829215737,0.3075560969080285
russia_organic,russian,0.3227,0.3027,-0.0201,4,16,-0.672358825810867,0.5323306834413457
uae_dairy,arabic,0.3629,0.3396,-0.0233,2,18,-0.5997208419355692,0.6419583429673559
ukraine_confectionery,russian,0.3905,0.3613,-0.0292,4,16,-1.9989182359493876,0.060958315297802775
